央视,#genre#
风尚购物,http://39.134.221.71:80/wh7f454c46tw3615598616_290230096/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
快乐购,http://39.134.221.50:80/wh7f454c46tw3618605052_83618330/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226470/index.m3u8
欢腾购物,http://39.134.221.60:80/wh7f454c46tw3644588036_1559770345/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226432/index.m3u8

体育,#genre#
世界地理,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226071/1/index.m3u8?fmt=ts2hls

怀旧剧场,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226097/1/index.m3u8?fmt=ts2hls

风云剧场,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226107/1/index.m3u8?fmt=ts2hls

第一剧场,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226124/1/index.m3u8?fmt=ts2hls

兵器科技,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226111/1/index.m3u8?fmt=ts2hls

女性时尚,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226104/1/index.m3u8?fmt=ts2hls
文化精品,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225675/1/index.m3u8?fmt=ts2hls

高尔夫网球,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226114/1/index.m3u8?fmt=ts2hls

风云足球,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226153/1/index.m3u8?fmt=ts2hls

央视台球,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226156/1/index.m3u8?fmt=ts2hls

风云音乐,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226083/1/index.m3u8?fmt=ts2hls

电视指南,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226120/1/index.m3u8?fmt=ts2hls

新视觉,http://39.136.18.70/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226237/1/index.m3u8?fmt=ts2hls

IPTV4K 17M2160,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226550/1.m3u8
淘BABY 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226554/1.m3u8
淘剧场 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226553/1.m3u8
淘娱乐 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226551/1.m3u8
淘电影 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226552/1.m3u8
萌宠TV 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226555/1.m3u8


影视,#genre#
和平精英官方赛事999,http://dyscdnali1.douyucdn.cn/live/999rx47n2pp8pGB7.flv?uuid=
LPL直播,http://dyscdnali1.douyucdn.cn/live/288016rlols5.flv?uuid=
CFPL,http://dyscdnali1.douyucdn.cn/live/605964rzzgGEOZHr.flv?uuid=
王者荣耀998,http://dyscdnali1.douyucdn.cn/live/1863767rkpl.flv?uuid==
CFPL手游 868191,http://dyscdnali1.douyucdn.cn/live/868191rjy69PsEAz.flv?uuid=
CFEL越南522798,http://dyscdnali1.douyucdn.cn/live/522798rrv2iWNfEV.flv?uuid=

JJ斗地主大师赛,http://dyscdnali1.douyucdn.cn/live/488743rAHScWyyII.flv?uuid=
CSGOIEM秋季赛A601514,http://dyscdnali1.douyucdn.cn/live/601514rYyuBBDi3R.flv?uuid=
CSGOIEM秋季赛B9392697,http://dyscdnali1.douyucdn.cn/live/9392697rFf7eQr3j.flv?uuid=

PGS4 绝地求生,http://dyscdnali1.douyucdn.cn/live/100rPCLP.flv?uuid=
黄金大奖赛276685,http://dyscdnali1.douyucdn.cn/live/276685rdpgl.flv?uuid=
绝地求生赛事3939156,http://dyscdnali1.douyucdn.cn/live/3939156rPGI.flv?uuid=


梦幻西游武神坛5284127,http://dyscdnali1.douyucdn.cn/live/5284127raQyzSCMb.flv?uuid=
泡泡卡丁车 7722576,http://dyscdnali1.douyucdn.cn/live/7722576rWHyhVf6Z.flv?uuid=
QQ飞车手游 5040227,http://dyscdnali1.douyucdn.cn/live/5040227raXQRnvWY.flv?uuid=


电影3637778,http://dyscdnali1.douyucdn.cn/live/3637778raLSXdOdu.flv?uuid=

林振英218859,http://dyscdnali1.douyucdn.cn/live/218859rqPPCnL2wr.flv?uuid=


音乐放松 3870925,http://dyscdnali1.douyucdn.cn/live/3870925rzmAlZtBD.flv?uuid=

看电影925724,http://dyscdnali1.douyucdn.cn/live/3870925ra5guhbd2.flv?uuid=
进击的神乐 看电影,hhttp://dyscdnali1.douyucdn.cn/live/85894rmovieChow.flv?uuid=
看电影3928,http://dyscdnali1.douyucdn.cn/live/3928r9p0BHMDG.flv?uuid=
辽宁小品,http://dyscdnali1.douyucdn.cn/live/9067836rZBhsSSRN.flv?uuid=

狄仁杰6166636,http://dyscdnali1.douyucdn.cn/live/6166636rQr2z789n.flv?uuid=

韩综,http://dyscdnali1.douyucdn.cn/live/131977rb5GOrl6uS.flv?uuid=
朱元璋 308752,http://dyscdnali1.douyucdn.cn/live/308752rO0la4BD8R.flv?uuid=
电视剧 338759,http://dyscdnali1.douyucdn.cn/live/338759rVVY6JMrOB.flv?uuid=
贝爷4332,http://dyscdnali1.douyucdn.cn/live/4332rWCw38qxvXHu.flv?uuid=
国语 二战2436390,http://dyscdnali1.douyucdn.cn/live/2436390rOrsftOGI.flv?uuid=
5423,http://dyscdnali1.douyucdn.cn/live/5423ridavNtCgufP.flv?uuid=

西瓜说柯南,http://dyscdnali1.douyucdn.cn/live/9065082rnJQcjkFC.flv?uuid=


